Wall time,Step,Value
1573466768.7628164,0,0.06876024603843689
1573467353.80868,1,0.022702373564243317
1573467886.1687753,2,0.017240110784769058
1573468413.5964677,3,0.016101107001304626
1573468936.0229487,4,0.01524368580430746
1573469452.7509441,5,0.013835329562425613
1573469969.9581459,6,0.012970729731023312
1573470488.7084742,7,0.012731797993183136
1573471007.7822027,8,0.0117378244176507
1573471526.8303132,9,0.011172307655215263
1573472041.5545306,10,0.010795289650559425
1573472562.91736,11,0.011422322131693363
1573473086.9887745,12,0.010881082154810429
1573473601.8817677,13,0.010515565983951092
1573474114.8672602,14,0.010448146611452103
1573474627.1607661,15,0.010096223093569279
1573475138.8571618,16,0.009730457328259945
1573475652.49061,17,0.009835250675678253
1573476166.322829,18,0.009799848310649395
1573476676.8292854,19,0.009397456422448158
1573477186.521819,20,0.009264683350920677
1573477696.667744,21,0.008686830289661884
1573478206.5637481,22,0.009162915870547295
1573478719.4754007,23,0.011704307049512863
1573479229.9784708,24,0.00899415835738182
1573479745.049703,25,0.008606117218732834
1573480255.7320282,26,0.010950862430036068
1573480768.1341152,27,0.008084816858172417
1573481278.3656807,28,0.009379810653626919
1573481788.7333977,29,0.008274407126009464
1573482298.4741914,30,0.010924559086561203
1573482806.9482665,31,0.008518687449395657
1573483315.9340963,32,0.009368803352117538
1573483829.1722214,33,0.008521517738699913
1573484340.3205695,34,0.008038782514631748
1573484851.7232506,35,0.00784197449684143
1573485362.6614196,36,0.008393272757530212
1573485870.529105,37,0.007925344631075859
1573486379.3139431,38,0.007863846607506275
1573486891.2090867,39,0.007559000048786402
1573487399.685891,40,0.007830440998077393
1573487909.7742822,41,0.008200863376259804
1573488419.3344793,42,0.00793048832565546
1573488929.0547621,43,0.007797628175467253
1573489440.0993013,44,0.007967071607708931
1573489951.8019621,45,0.007131997495889664
1573490461.6291106,46,0.007650946266949177
1573490975.7224896,47,0.008123282343149185
1573491485.9900532,48,0.0075300163589417934
1573491995.8280895,49,0.007972357794642448
