Wall time,Step,Value
1573466768.7626846,0,0.6679539084434509
1573467353.808483,1,0.6006366014480591
1573467886.1685832,2,0.48325401544570923
1573468413.59624,3,0.40898871421813965
1573468936.0227876,4,0.36970070004463196
1573469452.7507472,5,0.3493584394454956
1573469969.957995,6,0.3342919647693634
1573470488.7082543,7,0.3230173885822296
1573471007.781997,8,0.30678436160087585
1573471526.8301125,9,0.3007953464984894
1573472041.5543287,10,0.2960750460624695
1573472562.9170947,11,0.2902590036392212
1573473086.988564,12,0.2840461730957031
1573473601.8815932,13,0.27815020084381104
1573474114.8670473,14,0.2755511999130249
1573474627.1605153,15,0.27207738161087036
1573475138.8569121,16,0.266944020986557
1573475652.4903882,17,0.2659182548522949
1573476166.3226595,18,0.2614162564277649
1573476676.829061,19,0.2580415904521942
1573477186.5216198,20,0.2529909312725067
1573477696.6675425,21,0.2513589859008789
1573478206.563538,22,0.255607008934021
1573478719.4751804,23,0.24779468774795532
1573479229.9782667,24,0.24897968769073486
1573479745.0494833,25,0.24762852489948273
1573480255.7318282,26,0.24119195342063904
1573480768.1338937,27,0.23710618913173676
1573481278.365475,28,0.23956435918807983
1573481788.733238,29,0.24014146625995636
1573482298.4739552,30,0.2385200560092926
1573482806.9480605,31,0.23805437982082367
1573483315.9338949,32,0.23767660558223724
1573483829.172007,33,0.23362447321414948
1573484340.3203812,34,0.2324095368385315
1573484851.7230313,35,0.2316027134656906
1573485362.6612072,36,0.22857016324996948
1573485870.5288956,37,0.22915701568126678
1573486379.3137517,38,0.22955599427223206
1573486891.208858,39,0.2297709882259369
1573487399.6856945,40,0.227378249168396
1573487909.7740612,41,0.22770839929580688
1573488419.3342507,42,0.22628186643123627
1573488929.054546,43,0.22759264707565308
1573489440.0990746,44,0.2198396623134613
1573489951.801753,45,0.22078156471252441
1573490461.6288943,46,0.22187821567058563
1573490975.7222693,47,0.21829281747341156
1573491485.989839,48,0.22011522948741913
1573491995.8279068,49,0.21828068792819977
