Wall time,Step,Value
1573466768.7628007,0,0.3938789665699005
1573467353.8086576,1,0.358693927526474
1573467886.1687539,2,0.3186171352863312
1573468413.5964324,3,0.3052556812763214
1573468936.0229316,4,0.27743586897850037
1573469452.7509186,5,0.27849602699279785
1573469969.9581277,6,0.2711394131183624
1573470488.7084515,7,0.27407780289649963
1573471007.7821813,8,0.256481409072876
1573471526.8302915,9,0.2611442804336548
1573472041.5545084,10,0.24006414413452148
1573472562.9173372,11,0.24667951464653015
1573473086.9887516,12,0.23900382220745087
1573473601.8817477,13,0.23649780452251434
1573474114.867237,14,0.2322685420513153
1573474627.1607258,15,0.22962656617164612
1573475138.8571374,16,0.23465818166732788
1573475652.4905784,17,0.2308415174484253
1573476166.3228083,18,0.22074326872825623
1573476676.829263,19,0.2255009412765503
1573477186.5217962,20,0.21591246128082275
1573477696.6677194,21,0.21449601650238037
1573478206.5637202,22,0.21924445033073425
1573478719.4753788,23,0.21568803489208221
1573479229.9784443,24,0.2167995572090149
1573479745.049677,25,0.21110489964485168
1573480255.7320006,26,0.21193981170654297
1573480768.134088,27,0.2027588039636612
1573481278.3656554,28,0.20537933707237244
1573481788.7333796,29,0.20151564478874207
1573482298.474169,30,0.20110474526882172
1573482806.9482427,31,0.20412656664848328
1573483315.9340732,32,0.2088829129934311
1573483829.172198,33,0.20473550260066986
1573484340.3205476,34,0.19892622530460358
1573484851.7232268,35,0.19535961747169495
1573485362.6613832,36,0.1956271380186081
1573485870.5290744,37,0.19037559628486633
1573486379.3139212,38,0.1953066736459732
1573486891.2090588,39,0.19725149869918823
1573487399.68587,40,0.20793652534484863
1573487909.7742565,41,0.1934174746274948
1573488419.3344526,42,0.19066299498081207
1573488929.0547392,43,0.1965436041355133
1573489440.099274,44,0.19298382103443146
1573489951.8019378,45,0.1860889196395874
1573490461.6290855,46,0.19082246720790863
1573490975.7224529,47,0.18609361350536346
1573491485.9900188,48,0.1890011578798294
1573491995.8280728,49,0.18930359184741974
