Wall time,Step,Value
1573466768.76272,0,2.8976869583129883
1573467353.8085365,1,1.9316080808639526
1573467886.1686459,2,1.6204291582107544
1573468413.5962918,3,1.4592902660369873
1573468936.0228264,4,1.3393505811691284
1573469452.7507987,5,1.2917366027832031
1573469969.9580326,6,1.2466715574264526
1573470488.7083073,7,1.2099807262420654
1573471007.7820506,8,1.1481437683105469
1573471526.8301592,9,1.1385899782180786
1573472041.554385,10,1.0852853059768677
1573472562.9171748,11,1.1005938053131104
1573473086.9886267,12,1.0644285678863525
1573473601.8816357,13,1.0372133255004883
1573474114.8671136,14,1.0142794847488403
1573474627.160565,15,1.0101011991500854
1573475138.8569698,16,1.0035072565078735
1573475652.4904416,17,0.9877975583076477
1573476166.3227022,18,0.9553127884864807
1573476676.8291216,19,0.9638816118240356
1573477186.52167,20,0.929883599281311
1573477696.6675968,21,0.9173160195350647
1573478206.563601,22,0.9406717419624329
1573478719.4752321,23,0.9445551037788391
1573479229.9783177,24,0.919499933719635
1573479745.0495422,25,0.8964022994041443
1573480255.7318778,26,0.9147971868515015
1573480768.1339417,27,0.8649500608444214
1573481278.365532,28,0.8850452899932861
1573481788.7332814,29,0.8707697987556458
1573482298.4740112,30,0.8967399597167969
1573482806.9481106,31,0.8703561425209045
1573483315.9339452,32,0.8847768306732178
1573483829.1720605,33,0.8697592616081238
1573484340.3204327,34,0.8534859418869019
1573484851.7230895,35,0.8418111205101013
1573485362.6612587,36,0.8437496423721313
1573485870.5289388,37,0.8240967392921448
1573486379.3138146,38,0.8295894861221313
1573486891.208913,39,0.8326924443244934
1573487399.6857545,40,0.8427777290344238
1573487909.774118,41,0.827946126461029
1573488419.3343072,42,0.8157851696014404
1573488929.054594,43,0.8265682458877563
1573489440.099135,44,0.8064643740653992
1573489951.8018048,45,0.789332389831543
1573490461.6289403,46,0.8135215640068054
1573490975.7223237,47,0.799706220626831
1573491485.989891,48,0.7969308495521545
1573491995.8279583,49,0.799457848072052
