Wall time,Step,Value
1573466768.763755,0,0.7796974182128906
1573467353.8095093,1,0.5137170553207397
1573467886.1696773,2,0.43075793981552124
1573468413.5971496,3,0.4007633328437805
1573468936.0235991,4,0.38446104526519775
1573469452.7655802,5,0.3702546954154968
1573469969.9733467,6,0.35480862855911255
1573470488.7093208,7,0.337992399930954
1573471007.7831001,8,0.3322659432888031
1573471526.8312545,9,0.32771047949790955
1573472041.5553374,10,0.3107169568538666
1573472562.9181461,11,0.3156156837940216
1573473086.9896438,12,0.3128150999546051
1573473601.8824437,13,0.3011322021484375
1573474114.8679452,14,0.2910504937171936
1573474627.1616116,15,0.29695647954940796
1573475138.8580108,16,0.29463011026382446
1573475652.4912584,17,0.28593066334724426
1573476166.3234808,18,0.27433720231056213
1573476676.8298557,19,0.2813699543476105
1573477186.5339653,20,0.26866278052330017
1573477696.6684742,21,0.2603808343410492
1573478206.5644634,22,0.27334505319595337
1573478719.4762619,23,0.29057419300079346
1573479229.9791992,24,0.26713401079177856
1573479745.0504544,25,0.2544890344142914
1573480255.7327652,26,0.2744627594947815
1573480768.1347256,27,0.25072333216667175
1573481278.3662868,28,0.2626113295555115
1573481788.7341793,29,0.2528741955757141
1573482298.4747834,30,0.2815590500831604
1573482806.9489186,31,0.2536957263946533
1573483315.9348474,32,0.2617259621620178
1573483829.1935682,33,0.25820988416671753
1573484340.3332818,34,0.2526187598705292
1573484851.7240655,35,0.24995891749858856
1573485362.6622424,36,0.2528623938560486
1573485870.5298655,37,0.24072374403476715
1573486379.3145976,38,0.23759740591049194
1573486891.2258718,39,0.2411271333694458
1573487399.686716,40,0.24119992554187775
1573487909.7778614,41,0.2458268404006958
1573488419.3351839,42,0.23524807393550873
1573488929.0613556,43,0.23955492675304413
1573489440.1000926,44,0.237567737698555
1573489951.8026376,45,0.2279721349477768
1573490461.6296678,46,0.24105919897556305
1573490975.7231765,47,0.2401411086320877
1573491485.9908032,48,0.23185035586357117
1573491995.8289711,49,0.23773609101772308
